date,LIUR0000SL00022
2004-01,127.7
2004-02,128.9
2004-03,127.8
2004-04,128.0
2004-05,129.1
2004-06,129.3
2004-07,129.8
2004-08,129.2
2004-09,128.9
2004-10,131.0
2004-11,130.6
2004-12,131.7
2005-01,135.6
2005-02,136.1
2005-03,137.3
2005-04,136.4
2005-05,136.5
2005-06,137.8
2005-07,137.6
2005-08,136.0
2005-09,136.4
2005-10,137.3
2005-11,137.2
2005-12,136.7
2006-01,138.0
2006-02,139.2
2006-03,139.5
2006-04,140.0
2006-05,139.6
2006-06,139.3
2006-07,139.6
2006-08,140.3
2006-09,140.9
2006-10,141.0
2006-11,141.3
2006-12,141.2
2007-01,141.3
2007-02,141.6
2007-03,141.5
2007-04,142.3
2007-05,142.2
2007-06,142.4
2007-07,141.7
2007-08,141.0
2007-09,142.3
2007-10,142.7
2007-11,143.3
2007-12,142.2
2008-01,142.4
2008-02,145.0
2008-03,146.6
2008-04,146.2
2008-05,146.5
2008-06,146.4
2008-07,147.7
2008-08,149.5
2008-09,151.4
2008-10,152.8
2008-11,151.3
2008-12,153.5
2009-01,155.9
2009-02,155.9
2009-03,156.6
2009-04,158.7
2009-05,158.9
2009-06,159.6
2009-07,159.7
2009-08,156.1
2009-09,156.0
2009-10,155.0
2009-11,154.9
2009-12,155.2
2010-01,154.9
2010-02,154.5
2010-03,155.3
2010-04,155.0
2010-05,155.0
2010-06,155.3
2010-07,155.3
2010-08,155.1
2010-09,155.3
2010-10,155.9
2010-11,155.6
2010-12,156.3
2011-01,156.8
2011-02,157.1
2011-03,157.4
2011-04,158.3
2011-05,158.8
2011-06,160.7
2011-07,160.5
2011-08,160.9
2011-09,159.8
2011-10,161.3
2011-11,161.9
2011-12,162.6
2012-01,162.9
2012-02,163.4
2012-03,162.9
2012-04,162.5
2012-05,163.0
2012-06,163.4
2012-07,164.5
2012-08,163.9
2012-09,163.2
2012-10,163.7
2012-11,163.4
2012-12,164.0
2013-01,163.6
2013-02,163.2
2013-03,163.1
2013-04,167.3
2013-05,167.3
2013-06,167.6
2013-07,168.5
2013-08,167.7
2013-09,167.0
2013-10,165.9
2013-11,165.7
2013-12,165.9
